Page URL,"Load Time, s",Discovered
https://www.scoopanalytics.com/blog/business-intelligence-tools,3.44,27 Jan 2026 (18:06 UTC)
https://www.scoopanalytics.com/blog/from-spreadsheet-overload-to-presentation-perfection,3.15,27 Jan 2026 (18:06 UTC)
https://www.scoopanalytics.com/blog/how-authenticity-ai-and-communities-are-shaping-the-future-of-product-marketing,3.07,27 Jan 2026 (18:06 UTC)
https://www.scoopanalytics.com/blog/how-does-sales-analytics-increase-revenue,3.21,27 Jan 2026 (18:06 UTC)
https://www.scoopanalytics.com/blog/human-in-the-loop-hitl,3.03,27 Jan 2026 (18:06 UTC)
https://www.scoopanalytics.com/blog/the-hidden-cost-of-black-box-ai,3.04,27 Jan 2026 (18:06 UTC)
https://www.scoopanalytics.com/blog/the-impact-of-ai-in-business-analysis,3.44,27 Jan 2026 (18:06 UTC)
https://www.scoopanalytics.com/blog/why-llms-struggle-with-basic-math--and-what-that-means-for-ops-leaders,3.11,27 Jan 2026 (18:06 UTC)
https://www.scoopanalytics.com/industry-case-studies/how-recruitment-teams-optimized-candidate-processing-with-ai-driven-data-analysis,3.01,27 Jan 2026 (18:06 UTC)
https://www.scoopanalytics.com/recipes/customer-success,3.43,27 Jan 2026 (18:06 UTC)
https://www.scoopanalytics.com/recipes/fractional-cxo-recipe,3.09,27 Jan 2026 (18:06 UTC)
https://www.scoopanalytics.com/recipes/pipeline-conversion-analysis-recipe,3.01,27 Jan 2026 (18:06 UTC)
